Br_ID,Phase,Work_Type,Lat,Long,Damage State,Description,Hwy,Hwy Name,MP,DISTRICT,STRUCNAME,Carries,Crosses,DetourLenth_mi,YEARBUILT,LENGTH_ft,ADMINAREA,DESIGNMAIN,MATERIALMAIN
0M221,2,Retrofit,42.40396,-122.93861,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,35.24,08,"Jackson Creek, Hwy 1",I-5 (HWY 001),JACKSON CREEK,11.20,1961,30.00,R3,2 Concrete Continuous,19 Culvert
08383N,2,Rehab+,42.41663,-123.12472,DS4,Seismically Vulnerable,001,Pacific Hwy,45.47,08,Hwy 1 NB over Hwy 60,I-5 (HWY 001) NB,OR 99 (HWY 060),1.00,1961,278.00,R3,3 Steel,02 Stringer/Girder
08383S,2,Rehab+,42.41706,-123.12472,DS4,Seismically Vulnerable,001,Pacific Hwy,45.47,08,Hwy 1 SB over Hwy 60,I-5 (HWY 001) SB,OR 99 (HWY 060),1.00,1961,274.00,R3,3 Steel,02 Stringer/Girder
08381N,2,Rehab+,42.41508,-123.12639,DS3,Seismically Vulnerable,001,Pacific Hwy,45.61,08,"Rogue River, Hwy 1 NB (Homestead)",I-5 (HWY 001) NB,ROGUE RIVER (HOMESTEAD),33.05,1961,765.99,R3,2 Concrete Continuous,05 Multiple Box Beam
08381S,2,Rehab+,42.41546,-123.12639,DS3,Seismically Vulnerable,001,Pacific Hwy,45.61,08,"Rogue River, Hwy 1 SB (Homestead)",I-5 (HWY 001) SB,ROGUE RIVER (HOMESTEAD),33.05,1961,808.99,R3,2 Concrete Continuous,05 Multiple Box Beam
08378,2,Retrofit,42.43097,-123.16861,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,48.71,08,"Ward Creek, Hwy 1",I-5 (HWY 001),WARD CREEK,33.05,1962,25.50,R3,2 Concrete Continuous,19 Culvert
08377,2,Rehab+,42.43214,-123.17,DS4,Seismically Vulnerable,001,Pacific Hwy,48.82,08,Hwy 1 over Depot St,I-5 (HWY 001),DEPOT ST,10.00,1961,144.00,R3,5 Prestressed Concrete,02 Stringer/Girder
08376,2,Rehab+,42.43401,-123.17417,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,49.07,08,"Evans Creek, Hwy 1",I-5 (HWY 001),EVANS CREEK,24.80,1961,255.00,R3,2 Concrete Continuous,04 Tee Beam
08375,2,Rehab+,42.21107,-122.69972,DS3,Seismically Vulnerable,001,Pacific Hwy,49.46,08,"Creek & County Rd + CORP, Hwy 1 at MP 49.46",I-5 (HWY 001) ,"CO RD, CORP, CREEK",24.80,1961,685.99,R3,2 Concrete Continuous,05 Multiple Box Beam
08335N,2,Rehab+,42.43543,-123.26139,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,54.1,08,Hwy 1 NB over Foothill Blvd,I-5 (HWY 001) NB,FOOTHILL BLVD,24.80,1960,341.00,R3,2 Concrete Continuous,05 Multiple Box Beam
08335S,2,Rehab+,42.43524,-123.26139,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,54.1,08,Hwy 1 SB over Foothill Blvd,I-5 (HWY 001) SB,FOOTHILL BLVD,24.80,1960,341.00,R3,2 Concrete Continuous,05 Multiple Box Beam
08333,2,Rehab+,42.4377,-123.28639,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,55.4,08,Hwy 1 over Foothill Blvd,I-5 (HWY 001),FOOTHILL BLVD,24.80,1960,204.00,R3,2 Concrete Continuous,04 Tee Beam
08338,2,Rehab+,42.45853,-123.31222,DS3,Seismically Vulnerable,001,Pacific Hwy,57.5,08,Hwy 1 over Hillcrest Dr,I-5 (HWY 001),HILLCREST DR,2.70,1960,168.00,R3,2 Concrete Continuous,04 Tee Beam
08501,2,Retrofit,42.46401,-123.32167,DS5,Seismically Vulnerable,001,Pacific Hwy,58.06,08,Hwy 1 over Hwy 25 NB,I-5 (HWY 001),"US 199, OR 99 (HWY 025)",2.70,1960,194.00,R3,5 Prestressed Concrete,02 Stringer/Girder
08500,2,Retrofit,42.46478,-123.32333,DS5,Seismically Vulnerable,001,Pacific Hwy,58.18,08,Hwy 1 over Scoville Rd,I-5 (HWY 001),SCOVILLE RD,2.70,1959,190.00,R3,5 Prestressed Concrete,02 Stringer/Girder
08094N,2,Retrofit,42.55868,-123.37139,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,65.74,08,"Jumpoff Joe Creek, Hwy 1 NB",I-5 (HWY 001) NB,JUMPOFF JOE CREEK,1.00,1957,269.00,R3,2 Concrete Continuous,04 Tee Beam
08094S,2,Retrofit,42.55866,-123.37167,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,65.74,08,"Jumpoff Joe Creek, Hwy 1 SB",I-5 (HWY 001) SB,JUMPOFF JOE CREEK,1.00,1957,269.00,R3,2 Concrete Continuous,04 Tee Beam
08093B,2,Rehab+,42.56645,-123.37222,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,66.22,08,Monument Dr. (Jumpoff Joe Conn) Over Hwy 001,MONUMENT DRIVE,I-5 (HWY 001),38.00,1958,276.00,R3,2 Concrete Continuous,04 Tee Beam
09439,2,Retrofit,42.63163,-123.38167,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,71.39,08,Hwy 1 NB & Conn over Sunny Valley Rd,I-5 (HWY 001) NB,SUNNY VALLEY RD,1.00,1966,129.00,R3,2 Concrete Continuous,01 Slab
09439A,2,Retrofit,42.63151,-123.38194,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,71.39,08,Hwy 1 SB & Conn over Sunny Valley Rd,I-5 (HWY 001) SB,SUNNY VALLEY RD,1.00,1966,129.00,R3,2 Concrete Continuous,01 Slab
09440,2,Retrofit,42.63856,-123.38639,DS5,Seismically Vulnerable,001,Pacific Hwy,71.93,08,Hwy 1 NB over Leland Rd,I-5 (HWY 001) NB,LELAND RD,1.00,1966,168.00,R3,5 Prestressed Concrete,02 Stringer/Girder
09440A,2,Retrofit,42.63852,-123.38667,DS5,Seismically Vulnerable,001,Pacific Hwy,71.93,08,Hwy 1 SB over Leland Rd,I-5 (HWY 001) SB,LELAND RD,1.00,1966,175.00,R3,5 Prestressed Concrete,02 Stringer/Girder
09339,2,Retrofit,42.6903,-123.39361,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,76.03,08,Hwy 1 over S Wolf Creek Conn,I-5 (HWY 001),S WOLF CR CONN,28.00,1965,189.00,R3,6 P/S Conc Continuous,02 Stringer/Girder
09337,2,Retrofit,42.69644,-123.38667,DS4,Seismically Vulnerable,001,Pacific Hwy,76.6,08,Hwy 1 over N Wolf Creek Conn,I-5 (HWY 001) ,N WOLF CR CONN,28.00,1965,242.00,R3,5 Prestressed Concrete,02 Stringer/Girder
09352,2,Retrofit,42.74517,-123.37111,DS4,Seismically Vulnerable,001,Pacific Hwy,80.76,08,Hwy 1 NB & Conn over Conn (Glendale Intchg),I-5 (HWY 001) NB,GLENDALE INT,1.00,1965,209.00,R3,5 Prestressed Concrete,02 Stringer/Girder
09352A,2,Retrofit,42.74549,-123.37139,DS4,Seismically Vulnerable,001,Pacific Hwy,80.8,08,Hwy 1 SB & Conn over Conn (Glendale Intchg),I-5 (HWY 001) SB,GLENDALE INT,1.00,1965,210.00,R3,5 Prestressed Concrete,02 Stringer/Girder
06784,2,Retrofit,42.76026,-123.34722,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,82.34,07,"Swamp Creek, Hwy 1",I-5 (HWY 001),SWAMP CREEK,0.00,1948,21.00,R3,2 Concrete Continuous,19 Culvert
06785,2,Retrofit,42.76672,-123.32778,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,83.08,07,"Woodford Creek, Hwy 1",I-5 (HWY 001),WOODFORD CREEK,123.65,1948,21.00,R3,2 Concrete Continuous,19 Culvert
09374,2,Retrofit,42.89636,-123.24972,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,95.96,07,"West Fork Canyon Creek, Hwy 1 Conn #2",I-5 (HWY 001) CON,W FORK CANYON CK,74.00,1965,85.00,R3,2 Concrete Continuous,01 Slab
07324,2,Retrofit,42.92729,-123.28111,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,98.51,07,Hwy 1 over First St (Canyonville),I-5 (HWY 001),FIRST ST,1.00,1951,88.58,R3,2 Concrete Continuous,04 Tee Beam
07952A,2,Rehab+,43.01585,-123.30083,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,107.52,07,Hwy 1 SB over CORP (Weaver),I-5 (HWY 001) SB,CORP,13.00,1958,263.00,R3,2 Concrete Continuous,04 Tee Beam
07950,2,Retrofit,43.02585,-123.29917,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,108.31,07,Hwy 1 over Myrtle Creek Conn (Myrtle Creek Intchg),I-5 (HWY 001) ,MYRTLE CR INTER,13.00,1958,204.00,R3,2 Concrete Continuous,04 Tee Beam
07841A,2,Retrofit,43.06405,-123.34833,DS3,Seismically Vulnerable,001,Pacific Hwy,112.57,07,"S Umpqua R & CORP & Cnty Rd, Hwy1 SB (Booth Ranch)",I-5 (HWY 001) SB,"S UMPQUA R CORP, CO RD",1.00,1965,883.99,R3,3 Steel,09 Truss-Deck
07839A,2,Retrofit,43.07405,-123.35778,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,113.44,07,Hwy 1 NB over Clarks Branch Rd Conn #2,I-5 (HWY 001) NB,CLARKS BRANCH RD,1.00,1964,125.00,R3,2 Concrete Continuous,01 Slab
07839,2,Rehab+,43.07403,-123.35806,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,113.44,07,Hwy 1 SB over Clarks Branch Rd Conn #2,I-5 (HWY 001) SB,CLARKS BRANCH RD,1.00,1956,145.00,R3,2 Concrete Continuous,04 Tee Beam
07804N,2,Retrofit,43.16052,-123.36528,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,120.03,07,Hwy 1 over Speedway Rd,I-5 (HWY 001),I-5 @ SPEEDWAY RD,1.00,1955,110.00,R3,2 Concrete Continuous,01 Slab
07670A,2,Rehab+,43.19881,-123.35944,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,123.01,07,Hwy 1 over Portland Ave (Fairgrounds Intchg),I-5 (HWY 001),I-5 @ PORTLAND AVE,0.00,1954,130.00,R3,2 Concrete Continuous,04 Tee Beam
07669A,2,Retrofit,43.2139,-123.35528,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,124.15,07,Hwy 1 & Conn over Harvard Ave,I-5 (HWY 001),I-5 @ HARVARD AVE,4.00,1976,188.00,R3,2 Concrete Continuous,05 Multiple Box Beam
07668A,2,Rehab+,43.21488,-123.35583,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,124.22,07,Hwy 1 over Bellows St,I-5 (HWY 001),I-5 @ BELLOWS ST,4.00,1976,178.00,R3,2 Concrete Continuous,05 Multiple Box Beam
07668B,2,Retrofit,43.21538,-123.35556,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,124.24,07,Hwy 1 Conn over Bellows St,I-5 (HWY 001) CON,I-5 @ BELLOWS ST,4.00,1976,171.00,R3,2 Concrete Continuous,05 Multiple Box Beam
07404,2,Retrofit,43.21931,-123.35806,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,124.54,07,"South Umpqua River, Hwy 1 SB (Vets)",I-5 (HWY 001) SB,S UMPQUA R (VETS BR),0.90,1955,713.99,R3,3 Steel,09 Truss-Deck
07404A,2,Retrofit,43.21917,-123.35778,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,124.54,07,"South Umpqua River, Hwy 1 NB (Vets)",I-5 (HWY 001) NB,S UMPQUA R (VETS BR),0.90,1976,713.99,R3,3 Steel,09 Truss-Deck
07663A,2,Retrofit,43.28219,-123.35583,DS3,Seismically Vulnerable,001,Pacific Hwy,128.92,07,"N Umpqua R & CORP & Co Rd, Hwy 1 SB (Winchester)",I-5 (HWY 001) SB,"N UMPQUA,CORP,CR,& CORP",1.00,1964,1622.23,R3,3 Steel,09 Truss-Deck
07663C,2,Rehab+,43.28232,-123.35556,DS3,Seismically Vulnerable,001,Pacific Hwy,128.92,07,"N Umpqua R & CORP & Co Rd, Hwy 1 NB (Winchester)",I-5 (HWY 001) NB,"N UMPQUA,CORP,CR,& CORP",1.00,1955,1636.98,R3,3 Steel,09 Truss-Deck
07629A,2,Retrofit,43.32531,-123.34333,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,132,07,Hwy 1 SB over Wilbur-Umpqua Rd,I-5 (HWY 001) SB,I-5 @ WILBUR-UMPQUA RD,1.00,1965,115.00,R3,2 Concrete Continuous,01 Slab
07718,2,Retrofit,43.32902,-123.34056,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,132.28,07,"Culvert, Hwy 1 at MP 132.28",I-5 (HWY 001),CREEK,15.00,1954,21.00,R3,2 Concrete Continuous,19 Culvert
07627A,2,Retrofit,43.34133,-123.33167,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,133.25,07,Hwy 1 SB over Rogers Rd Conn,I-5 (HWY 001) SB,ROGERS RD CONN,1.00,1965,120.00,R3,2 Concrete Continuous,01 Slab
07627B,2,Retrofit,43.34119,-123.33139,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,133.25,07,Hwy 1 NB over Rogers Rd Conn,I-5 (HWY 001) NB,ROGERS RD CONN,1.00,1954,88.00,R3,2 Concrete Continuous,01 Slab
07644A,2,Rehab+,43.53471,-123.29444,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,148.21,07,Hwy 1 over Rice Hill Frtg Rd,I-5 (HWY 001),RICE HILL FRONT RD,18.60,1954,95.00,R3,2 Concrete Continuous,04 Tee Beam
07641,2,Retrofit,43.56536,-123.28083,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,149.71,07,"Yoncalla Creek, Hwy 1 Conn",I-5 (HWY 001) CON,YONCALLA CREEK,18.60,1954,56.00,R3,2 Concrete Continuous,04 Tee Beam
07640,2,Retrofit,43.56837,-123.27444,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,150.76,07,Hwy 1 NB over CORP (Yoncalla),I-5 (HWY 001) NB,CORP,18.60,1954,167.00,R3,2 Concrete Continuous,04 Tee Beam
07640A,2,Retrofit,43.56865,-123.27444,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,150.79,07,Hwy 1 SB over CORP (Yoncalla),I-5 (HWY 001) SB,CORP,18.60,1963,210.00,R3,2 Concrete Continuous,04 Tee Beam
07567A,2,Rehab+,43.62645,-123.21861,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,156.03,07,"Elk Creek, Hwy 1 SB",I-5 (HWY 001) SB,ELK CREEK,18.60,1964,135.80,R3,2 Concrete Continuous,01 Slab
07567B,2,Rehab+,43.62644,-123.21833,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,156.03,07,"Elk Creek, Hwy 1 NB",I-5 (HWY 001) NB,ELK CREEK,18.60,1953,130.00,R3,2 Concrete Continuous,04 Tee Beam
07572A,2,Retrofit,43.63293,-123.21861,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,156.49,07,"Curtis Creek, Hwy 001 SB at  MP 156.49",I-5 (HWY 001) ,CURTIS CREEK,18.60,1963,100.00,R3,2 Concrete Continuous,04 Tee Beam
07594A,2,Retrofit,43.67103,-123.20167,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,159.28,07,Hwy 1 over Scotts Valley Conn,I-5 (HWY 001) ,SCOTTS VALLEY CONN,18.60,1953,88.00,R3,2 Concrete Continuous,01 Slab
07569A,2,Retrofit,43.70674,-123.21167,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,162.06,07,Hwy 1 over Buck Creek Rd,I-5 (HWY 001),BUCK CR RD,18.60,1953,90.00,R3,2 Concrete Continuous,04 Tee Beam
07861A,2,Retrofit,43.75185,-123.10778,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,169.58,05,"Martin Creek, Hwy 1 NB",I-5 (HWY 001) NB,MARTIN CREEK NB,1.00,1963,80.00,R3,2 Concrete Continuous,04 Tee Beam
07865A,2,Rehab+,43.78682,-123.05333,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,173.4,05,Hwy 1 over Taylor Ave,I-5 (HWY 001),TAYLOR ST,2.00,1956,120.00,R3,2 Concrete Continuous,04 Tee Beam
07864A,2,Retrofit,43.79271,-123.05056,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,173.84,05,Hwy 1 over 16th Street (Landess Rd),I-5 (HWY 001),16TH ST.,2.00,1956,110.00,R3,2 Concrete Continuous,04 Tee Beam
07830,2,Retrofit,43.79978,-123.04528,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,174.41,05,Hwy 1 SB over OP&ERR (Abandoned),I-5 (HWY 001) SB,ABANDONED RR,1.00,1956,120.00,R3,2 Concrete Continuous,04 Tee Beam
07830A,2,Retrofit,43.79972,-123.045,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,174.41,05,Hwy 1 NB over OP&ERR (Abandoned),I-5 (HWY 001) NB,ABANDONED RR,1.00,1962,124.00,R3,2 Concrete Continuous,04 Tee Beam
07833A,2,Retrofit,43.80434,-123.04306,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,174.74,05,Hwy 1 SB over Row River Rd (Cottage Grove),I-5 (HWY 001) SB,ROW RIVER RD,1.00,1956,100.00,R3,2 Concrete Continuous,01 Slab
07833B,2,Retrofit,43.80428,-123.04278,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,174.74,05,Hwy 1 NB over Row River Rd (Cottage Grove),I-5 (HWY 001) NB,ROW RIVER RD,1.00,1962,100.00,R3,2 Concrete Continuous,01 Slab
07828B,2,Retrofit,43.81951,-123.03583,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,175.84,05,"Creek, Hwy 1 SB at MP 175.84",I-5 (HWY 001) SB,CREEK,1.05,1956,80.00,R3,2 Concrete Continuous,04 Tee Beam
07828A,2,Rehab+,43.81931,-123.03556,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,175.84,05,"Creek, Hwy 1 NB at MP 175.84",I-5 (HWY 001) NB,CREEK,1.05,1961,80.00,R3,2 Concrete Continuous,04 Tee Beam
07793A,2,Retrofit,43.8474,-123.02222,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,177.89,05,"Brown Creek, Hwy 1 NB",I-5 (HWY 001) NB,BROWN CREEK,1.00,1956,80.00,R3,2 Concrete Continuous,04 Tee Beam
07743B,2,Retrofit,43.88396,-123.01361,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,180.49,05,"Tunnel Mill Race, Hwy 1 NB",I-5 (HWY 001) NB,TUNNEL MILL RACE,1.00,1956,50.00,R3,2 Concrete Continuous,04 Tee Beam
07740A,2,Retrofit,43.91491,-123.01278,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,182.63,05,"Hill Creek, Hwy 1 SB",I-5 (HWY 001) SB,HILL CREEK,1.00,1956,64.00,R3,2 Concrete Continuous,04 Tee Beam
07740C,2,Retrofit,43.91493,-123.0125,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,182.63,05,Hill Creek  Hwy 001KR NB at MP 182.63,I-5 (HWY 001KR) NB,HILL CREEK,15.00,1967,64.00,R3,2 Concrete Continuous,04 Tee Beam
07738A,2,Retrofit,43.92091,-123.01194,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,183.04,05,"Old Lane Creek (Hill Slough), Hwy 1 SB",I-5 (HWY 001) SB,HILL SLOUGH,6.72,1956,50.00,R3,2 Concrete Continuous,04 Tee Beam
07738D,2,Retrofit,43.92089,-123.01167,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,183.04,05,"Old Lane Creek (Hill Slough), Hwy 1 NB",I-5 (HWY 001) NB,HILL CREEK,6.72,1961,50.00,R3,2 Concrete Continuous,04 Tee Beam
07738C,2,Retrofit,43.92121,-123.01139,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,183.18,05,"Old Lane Cr (Hill Sl), Hwy1 Frtg Rd Rt (Melton Rd)",I-5 (HWY 001) FR,HILL CREEK FRONT RD RT,6.72,1956,50.00,R3,2 Concrete Continuous,04 Tee Beam
07736A,2,Retrofit,43.95583,-123.01,DS3,Seismically Vulnerable,001,Pacific Hwy,185.46,05,"Camas Swale, Hwy 1 NB",I-5 (HWY 001) NB,CAMAS SWALE,6.72,1961,120.00,R3,2 Concrete Continuous,04 Tee Beam
08870,1,Retrofit,44.02603,-123.02861,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,190.76,05,Hwy 1 over Hwy 225 Conn (McVay Access),I-5 (HWY 001),MCVAY ACCESS,4.00,1962,24.00,R3,1 Concrete,07 Frame
08180N,1,Retrofit,44.09472,-123.045,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,196.19,05,"McKenzie Oflow, Hwy 1 NB at MP 196.19",I-5 (HWY 001) NB,MCKENZIE OFLOW,46.98,1960,126.00,R3,2 Concrete Continuous,04 Tee Beam
08180S,1,Rehab+,44.09492,-123.04556,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,196.19,05,"McKenzie Oflow, Hwy 1 SB at MP 196.19",I-5 (HWY 001) SB,MCKENZIE OFLOW,46.98,1960,126.00,R3,2 Concrete Continuous,04 Tee Beam
08178N,1,Retrofit,44.10201,-123.04417,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,196.69,05,"McKenzie Oflow, Hwy 1 NB at MP 196.69",I-5 (HWY 001) NB,MCKENZIE OFLOW,46.98,1960,162.00,R3,2 Concrete Continuous,04 Tee Beam
08178S,1,Retrofit,44.10201,-123.04472,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,196.69,05,"McKenzie Oflow, Hwy 1 SB at MP 196.69",I-5 (HWY 001) SB,MCKENZIE OFLOW,46.98,1960,162.00,R3,2 Concrete Continuous,04 Tee Beam
08171N,1,Retrofit,44.15631,-123.05639,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,200.5,05,"Muddy Creek, Hwy 1 NB",I-5 (HWY 001) NB,MUDDY CREEK ,1.00,1960,126.00,R3,2 Concrete Continuous,04 Tee Beam
08171S,1,Retrofit,44.1565,-123.05694,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,200.5,05,"Muddy Creek, Hwy 1 SB",I-5 (HWY 001) SB,MUDDY CREEK,1.00,1960,126.00,R3,2 Concrete Continuous,04 Tee Beam
08251N,1,Retrofit,44.22618,-123.06028,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,205.34,05,"Small Creek, Hwy 1 NB at MP 205.34",I-5 (HWY 001) NB,SMALL CREEK,1.00,1958,75.00,R3,2 Concrete Continuous,01 Slab
08251S,1,Retrofit,44.22617,-123.06083,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,205.34,05,"Small Creek, Hwy 1 SB at MP 205.34",I-5 (HWY 001) SB,SMALL CREEK,1.00,1958,75.00,R3,2 Concrete Continuous,01 Slab
08246N,1,Retrofit,44.29932,-123.06056,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,210.39,04,"Muddy Creek, Hwy 1 NB",I-5 (HWY 1) NB,MUDDY CREEK,0.62,1959,141.00,R2,2 Concrete Continuous,02 Stringer/Girder
