Institution_Id	Institution_Name	Enrollment2010	Enrollment2011	Enrollment2012	Enrollment2013	Private2010	Private2011	Private2012	Private2013	Public2010	Public2011	Public2012	public2013	Private2010PerStudent	Private2011PerStudent	Private2012PerStudent	Private2013PerStudent	Public2010PerStudent	Public2011PerStudent	Public2012PerStudent	Public2013PerStudent	publicAverage	privateAverage
1995	Camas Valley SD 21J	150	161	164	190	#N/A	72165.98	45397.17	35560	#N/A	1433666.65	1485997.99	1891454.21	#N/A	448.24	276.81	187.16	#N/A	8904.76	9060.96	9955.02	9306.92	304.07
2248	Fossil SD 21J	110	155	217	224	555	21342	11019	977	1411609.8	1113113.96	1519450.88	1746800.03	5.05	137.69	50.78	4.36	12832.82	7181.38	7002.08	7798.21	8703.62	49.47
2045	Prospect SD 59	240	253	253	221	3288.49	12644.58	9194	21970.36	1766724.28	2165292.35	2071006.33	2309800.64	13.70	49.98	36.34	99.41	7361.35	8558.47	8185.80	10451.59	8639.30	49.86
3997	Ione SD R2	193	176	184	204	110977.53	123103.38	126904.07	203131.19	1558813.85	1534138.8	1587583.12	1839023.53	575.01	699.45	689.70	995.74	8076.76	8716.70	8628.17	9014.82	8609.11	739.98
2085	Mapleton SD 32	172	178	173	170	1950	#N/A	115	4581	1251507.91	#N/A	1425378	1590278	11.34	#N/A	0.66	26.95	7276.21	#N/A	8239.18	9354.58	8289.99	12.98
1998	Elkton SD 34	240	249	280	374	58526.64	84300.63	97060.09	164594.35	2092433.61	2009472.5	2147240.17	3242171.42	243.86	338.56	346.64	440.09	8718.47	8070.17	7668.71	8668.91	8281.57	342.29
2214	North Powder SD 8J	271	269	273	291	#N/A	#N/A	5000	18445	#N/A	#N/A	2172078.58	2413601.66	#N/A	#N/A	18.32	63.38	#N/A	#N/A	7956.33	8294.16	8125.25	40.85
2095	Blachly SD 90	159	204	214	250	8013.27	32087.38	12209.22	12975.82	1175283.13	1381122.7	1725738.67	2493773.09	50.40	157.29	57.05	51.90	7391.72	6770.21	8064.20	9975.09	8050.30	79.16
2144	St Paul SD 45	261	258	250	254	15968.85	35819.03	2585	36452.25	1757244.74	1945420.08	2076612.39	2388393.13	61.18	138.83	10.34	143.51	6732.74	7540.39	8306.45	9403.12	7995.67	88.47
2000	Glendale SD 77	376	357	329	310	27876.67	4000	2820	2257	2514027.3	2496745	2201827	3435051.87	74.14	11.20	8.57	7.28	6686.24	6993.68	6692.48	11080.81	7863.31	25.30
1897	Pine Eagle SD 61	160	182	188	203	#N/A	408	445	3280	#N/A	1375366.98	1446601.68	1665379.87	#N/A	2.24	2.37	16.16	#N/A	7556.96	7694.69	8203.84	7818.50	6.92
2192	Perrydale SD 21	323	327	333	320	625	#N/A	1039	2790	2183936.39	#N/A	2254442.9	2513520.3	1.93	#N/A	3.12	8.72	6761.41	#N/A	6770.10	7854.75	7128.75	4.59
2092	Lowell SD 71	279	251	262	240	5439.98	9369.75	9571.39	32952.11	1453296.55	1914614.16	1772807.96	2110159.08	19.50	37.33	36.53	137.30	5208.95	7627.94	6766.44	8792.33	7098.92	57.67
2146	Woodburn SD 103	5431	5493	5668	5743	7140.43	#N/A	895.3	26658.11	36315605.78	#N/A	39184764.43	43011831.3	1.31	#N/A	0.16	4.64	6686.73	#N/A	6913.33	7489.44	7029.83	2.04
2204	Umatilla SD 6R	1340	1382	1356	1344	160499	41500	76691	30568	8901606.02	9498256.73	9337247.38	9869833.63	119.78	30.03	56.56	22.74	6642.99	6872.83	6885.88	7343.63	6936.33	57.28
2089	Crow-Applegate-Lorane SD 66	284	307	288	272	35551.52	33270.14	19475.05	13376.7	1882378.92	2113895.65	2075622.52	1906618.39	125.18	108.37	67.62	49.18	6628.09	6885.65	7207.02	7009.63	6932.60	87.59
2116	Vale SD 84	906	876	888	947	43955	77797.29	62782	71233.4	5931995.27	6041122.55	5785577.76	7287392.9	48.52	88.81	70.70	75.22	6547.46	6896.26	6515.29	7695.24	6913.56	70.81
2213	Union SD 5	376	373	358	341	32174.49	72021.27	51599.89	42714.64	2497782.34	2456676.15	2516940.41	2503936.16	85.57	193.09	144.13	125.26	6643.04	6586.26	7030.56	7342.92	6900.70	137.01
2145	Mt Angel SD 91	700	702	707	696	20930.72	13313.47	28687.5	26572.87	4423719.68	4758807.87	4557831.21	5446052.01	29.90	18.97	40.58	38.18	6319.60	6778.93	6446.72	7824.79	6842.51	31.91
2229	Dufur SD 29	282	274	276	268	150675.97	95902.22	126265.52	114574.69	1788055.23	1796113.86	1815548.45	2056678.91	534.31	350.01	457.48	427.52	6340.62	6555.16	6578.07	7674.18	6787.01	442.33
2053	Jefferson County SD 509J	2803	2806	2843	2905	11619.94	9245	28062.71	52529.62	17387767.66	19157768	19253289.41	20195978.76	4.15	3.29	9.87	18.08	6203.27	6827.43	6772.17	6952.14	6688.75	8.85
1996	North Douglas SD 22	389	348	349	338	1800	60448.4	43740.72	42810.35	2363676.8	2382264.02	2291064.7	2450200.75	4.63	173.70	125.33	126.66	6076.29	6845.59	6564.66	7249.11	6683.91	107.58
1898	Monroe SD 1J	473	479	448	454	#N/A	160699	10000	21412	#N/A	2961101.18	3067586.96	3184990.86	#N/A	335.49	22.32	47.16	#N/A	6181.84	6847.29	7015.40	6681.51	134.99
2137	Gervais SD 1	1116	1091	1070	1061	25	565	1075	#N/A	7102321.46	7523677.1	7177351.9	#N/A	0.02	0.52	1.00	#N/A	6364.09	6896.13	6707.81	#N/A	6656.01	0.51
2205	Milton-Freewater Unified SD 7	2001	1952	1895	1881	#N/A	34642.39	4448.97	40774.21	#N/A	12509461.71	12456849.02	12927019.44	#N/A	17.75	2.35	21.68	#N/A	6408.54	6573.54	6872.42	6618.16	13.92
2201	Helix SD 1	172	171	158	191	5550	16940	740	6775	983369.14	1094634.37	1140358.73	1236966.88	32.27	99.06	4.68	35.47	5717.26	6401.37	7217.46	6476.27	6453.09	42.87
1997	Yoncalla SD 32	300	332	320	294	9500	56848.37	39687.48	64374.59	1598904.03	2171708.5	2084559.9	2179429.66	31.67	171.23	124.02	218.96	5329.68	6541.29	6514.25	7413.03	6449.56	136.47
2108	Ontario SD 8C	2511	2431	2459	2441	3491.86	#N/A	2100	#N/A	15697873.67	#N/A	16317154.57	#N/A	1.39	#N/A	0.85	#N/A	6251.64	#N/A	6635.69	#N/A	6443.66	1.12
2008	John Day SD 3	671	621	611	617	#N/A	3850	57398.93	70053.11	#N/A	3874323.04	3998343.94	4031963.37	#N/A	6.20	93.94	113.54	#N/A	6238.85	6543.93	6534.79	6439.19	71.23
2187	David Douglas SD 40	10831	10706	10761	10946	#N/A	3584	12115	7571.73	#N/A	64064574.62	68367736.65	76324857.08	#N/A	0.33	1.13	0.69	#N/A	5983.99	6353.29	6972.85	6436.71	0.72
1968	Myrtle Point SD 41	654	626	619	643	#N/A	42261	18335.12	19283.38	#N/A	3940648.35	3862597.83	4354175.52	#N/A	67.51	29.62	29.99	#N/A	6294.97	6240.06	6771.66	6435.56	42.37
2257	Sheridan SD 48J	1038	1055	1060	1064	4940.84	5898.96	6184.79	4831.79	6948240	6390912.27	6414700.62	7111118.47	4.76	5.59	5.83	4.54	6693.87	6057.74	6051.60	6683.38	6371.65	5.18
2141	North Marion SD 15	1923	1886	1944	1968	30197.02	43295.98	62982.51	39397.23	11264798.59	11886839.99	12210843.65	13622428.51	15.70	22.96	32.40	20.02	5857.93	6302.67	6281.30	6921.97	6340.97	22.77
2208	Athena-Weston SD 29RJ	534	514	567	558	10000	18808.13	58644.2	67116	3070828.43	3188736.66	3403251	3923102.29	18.73	36.59	103.43	120.28	5750.62	6203.77	6002.21	7030.65	6246.81	69.76
1927	Colton SD 53	633	613	628	608	14386.28	27836.55	20606	11062.72	3582374.56	3729717.09	3827677	4251892.18	22.73	45.41	32.81	18.20	5659.36	6084.37	6095.03	6993.24	6208.00	29.79
2050	Culver SD 4	636	642	699	676	1480.74	100813.42	40277.51	39147.63	3826093.29	3817638.48	4218806.77	4544525.3	2.33	157.03	57.62	57.91	6015.87	5946.48	6035.49	6722.67	6180.13	68.72
2014	Harney County SD 3	925	897	857	808	13776.92	12575	18013.51	10958.41	5569483.52	5116203.13	5333967.48	5446075.78	14.89	14.02	21.02	13.56	6021.06	5703.68	6224.00	6740.19	6172.23	15.87
2241	Forest Grove SD 15	6190	6017	5921	5954	15398.89	9350.79	21030.26	9352.07	35553685.39	35820246.08	36532095	39478489.32	2.49	1.55	3.55	1.57	5743.73	5953.17	6169.92	6630.58	6124.35	2.29
2093	Oakridge SD 76	563	564	505	534	50220.51	17493.59	36236.65	23267.91	3228560.82	3362990.33	3172107.62	3466517.09	89.20	31.02	71.76	43.57	5734.57	5962.75	6281.40	6491.61	6117.58	58.89
2185	Centennial SD 28J	6474	6252	6105	6177	86668.72	33966.18	33966.36	66317.23	35823194.03	37115058.6	37081900.37	41092671.28	13.39	5.43	5.56	10.74	5533.39	5936.51	6074.02	6652.53	6049.11	8.78
2140	Jefferson SD 14J	902	887	885	869	23722.46	27457.95	26373.74	7332	5054762.61	5130975.83	5287291.15	5868619.37	26.30	30.96	29.80	8.44	5603.95	5784.64	5974.34	6753.30	6029.06	23.87
2253	Dayton SD 8	948	957	943	962	72440.53	132603.21	90198.59	51274.54	5331844.07	5482658.12	5675938.31	6472802.46	76.41	138.56	95.65	53.30	5624.31	5729.01	6019.02	6728.48	6025.21	90.98
1999	Riddle SD 70	406	387	416	377	10168	66630.82	65595.48	23940	2104679.4	2314051.68	2538667.91	2522398.45	25.04	172.17	157.68	63.50	5183.94	5979.46	6102.57	6690.71	5989.17	104.60
1990	Oakland SD 1	531	532	518	506	14293.45	9460	20032.36	62100.7	2801121.04	2962894.59	3202736.12	3454211.55	26.92	17.78	38.67	122.73	5275.18	5569.35	6182.89	6826.51	5963.48	51.53
1930	Estacada SD 108	2716	2732	2783	2566	8787.6	41881.4	40152.42	22000	14676249.39	15378392.05	16202231.8	17720533.81	3.24	15.33	14.43	8.57	5403.63	5628.99	5821.86	6905.90	5940.09	10.39
2255	Willamina SD 30J	859	828	785	793	98312.5	72418.76	11074.37	500	4741912.63	4768153.04	4732978.45	5048605.5	114.45	87.46	14.11	0.63	5520.27	5758.64	6029.27	6366.46	5918.66	54.16
2191	Central SD 13J	2916	2946	2889	3060	27846.55	45058.58	21221.83	24098.25	16133790.79	17022606.89	16870580.22	19873693.69	9.55	15.29	7.35	7.88	5532.85	5778.21	5839.59	6494.67	5911.33	10.02
2220	Wallowa SD 12	251	237	228	236	#N/A	#N/A	257.45	#N/A	#N/A	#N/A	1345945.53	#N/A	#N/A	#N/A	1.13	#N/A	#N/A	#N/A	5903.27	#N/A	5903.27	1.13
2142	Salem-Keizer SD 24J	40370	40219	40228	40473	270992.22	512683.51	786993.93	418153.94	216524217.5	225426426.4	234858824.3	262566142.1	6.71	12.75	19.56	10.33	5363.49	5604.97	5838.19	6487.44	5823.52	12.34
1964	Coquille SD 8	868	916	912	869	32338.86	77693.7	53947.44	30726.1	4679180.63	5133913.91	5222278.22	5411624.15	37.26	84.82	59.15	35.36	5390.76	5604.71	5726.18	6227.42	5737.27	54.15
2006	Condon SD 25J	130	136	140	133	168500	219305	362378	360845	834034.32	489665.57	748340.06	1008958.89	1296.15	1612.54	2588.41	2713.12	6415.65	3600.48	5345.29	7586.16	5736.89	2052.56
2221	Enterprise SD 21	394	403	379	405	53561.5	28230.59	41020	42000	2265332.2	2229653.85	1907371	2685536.86	135.94	70.05	108.23	103.70	5749.57	5532.64	5032.64	6630.96	5736.45	104.48
2099	Harrisburg SD 7J	922	878	879	861	12265.15	29669.48	48053.36	32746.13	4903683.33	4868050.81	4904973.92	5308721.19	13.30	33.79	54.67	38.03	5318.53	5544.48	5580.18	6165.76	5652.24	34.95
2206	Hermiston SD 8	5190	5093	5209	5241	96530.61	267151.34	1051703.63	353092.05	27036123.24	28224006	28877326	32193635.55	18.60	52.45	201.90	67.37	5209.27	5541.73	5543.74	6142.65	5609.35	85.08
2024	Hood River County SD	3989	4076	4086	4087	352765.69	369220.5	348419.3	279324.01	20814538.29	21619877.62	24295739.77	24335001.28	88.43	90.58	85.27	68.34	5217.98	5304.19	5946.09	5954.25	5605.63	83.16
2087	South Lane SD 45J3	2800	2697	2850	2880	131503.95	267179.79	214278.01	202369.92	13670115.06	15116540.71	16132537.71	18059322.31	46.97	99.07	75.19	70.27	4882.18	5604.95	5660.54	6270.60	5604.57	72.87
1973	Port Orford-Langlois SD 2CJ	283	250	260	232	1713.36	113879.09	75837.81	76710.31	1362272.51	1495578.54	1360886.21	1480764.37	6.05	455.52	291.68	330.65	4813.68	5982.31	5234.18	6382.61	5603.20	270.98
2147	Morrow SD 1	2196	2190	2184	2122	9076.45	90993.16	53042	254905.48	11548685.89	11660086.55	12488579.34	12952923.75	4.13	41.55	24.29	120.13	5258.96	5324.24	5718.21	6104.11	5601.38	47.52
1966	North Bend SD 13	2700	3650	3985	4105	288172.97	4800	873.75	6459.5	13445100.91	20308959.79	21722478.53	25930744.15	106.73	1.32	0.22	1.57	4979.67	5564.10	5451.06	6316.87	5577.92	27.46
1931	Gladstone SD 115	2089	2102	2130	2157	305745.39	185298.53	151591.21	153849	10342323.61	11774156.13	11765790.61	13378121	146.36	88.15	71.17	71.33	4950.85	5601.41	5523.85	6202.19	5569.57	94.25
2138	Silver Falls SD 4J	3641	3677	3728	3763	82711.86	93180.61	96682.38	127700.94	19214514.82	19665525.48	20233084.3	23347982.25	22.72	25.34	25.93	33.94	5277.26	5348.25	5427.33	6204.62	5564.37	26.98
2256	McMinnville SD 40	6460	6490	6465	6605	44767.84	102672.66	139206.24	148661.76	34209908.82	34555757.38	35428597.88	40565365.48	6.93	15.82	21.53	22.51	5295.65	5324.46	5480.06	6141.61	5560.45	16.70
2086	Creswell SD 40	1281	1294	1269	1264	23813.33	49073.5	28927.13	59046.24	6221266.12	7362829.23	6943677.16	7864967.22	18.59	37.92	22.80	46.71	4856.57	5689.98	5471.77	6222.28	5560.15	31.51
2245	Gaston SD 511J	465	463	483	547	26993.73	11657.6	10819	690	2413021.79	2242249.93	2625559.89	3658386.9	58.05	25.18	22.40	1.26	5189.29	4842.87	5435.94	6688.09	5539.05	26.72
2186	Corbett SD 39	970	1101	1271	1338	36451.54	9007.57	22444.21	5653.18	4900157.49	5596574.28	6992558.95	8441750.99	37.58	8.18	17.66	4.23	5051.71	5083.17	5501.62	6309.23	5486.43	16.91
2102	Sweet Home SD 55	2347	2291	2348	2378	22338.13	54267.62	56228.8	59450.39	11717464.68	12644852.1	12874436.51	14079693.82	9.52	23.69	23.95	25.00	4992.53	5519.36	5483.15	5920.81	5478.96	20.54
1994	South Umpqua SD 19	1519	1448	1459	1461	#N/A	#N/A	1356.9	501.2	#N/A	#N/A	7531761.04	8435020.1	#N/A	#N/A	0.93	0.34	#N/A	#N/A	5162.28	5773.46	5467.87	0.64
2139	Cascade SD 5	2235	2212	2225	2219	10958	47929.27	12950	13350	11119215.79	11558673.34	11892393.84	13396125.76	4.90	21.67	5.82	6.02	4975.04	5225.44	5344.90	6037.01	5395.60	9.60
2043	Eagle Point SD 9	4199	4112	4025	3895	47369.81	64648.18	35284.88	27820.32	19600892.35	21236132.93	22174036.76	23535575.19	11.28	15.72	8.77	7.14	4667.99	5164.43	5509.08	6042.51	5346.00	10.73
2057	Klamath County SD	6303	6253	6157	6229	522278.77	669746.72	419985.69	506462.7	31840922.66	31824449.46	32953883.56	36479588.8	82.86	107.11	68.21	81.31	5051.71	5089.47	5352.26	5856.41	5337.46	84.87
2002	Winston-Dillard SD 116	1513	1462	1445	1496	29901.2	40429.71	39038.43	25633	7374735.3	7982946.81	7608546.16	8497392.92	19.76	27.65	27.02	17.13	4874.25	5460.29	5265.43	5680.08	5320.01	22.89
2190	Dallas SD 2	3280	3148	3162	3177	54091.69	40096.17	73563.78	120818.45	15847353.12	16546954.2	16616692.18	18608647.19	16.49	12.74	23.26	38.03	4831.51	5256.34	5255.12	5857.30	5300.07	22.63
4131	North Wasco County SD 21	3015	3050	3023	3074	21618.56	5532	9178.48	3720.26	14322823.15	15307095.69	16868925.68	17982993.52	7.17	1.81	3.04	1.21	4750.52	5018.72	5580.19	5850.03	5299.87	3.31
2183	Gresham-Barlow SD 10J	12146	12126	12130	12180	175333.95	197332.31	234038.58	296980.83	58771970.26	60784257.51	65044223.43	72089563.08	14.44	16.27	19.29	24.38	4838.79	5012.72	5362.26	5918.68	5283.11	18.60
1894	Baker SD 5J	2089	2074	2164	2222	#N/A	200	1021.48	250	#N/A	10098372.35	11080717.76	12853023.63	#N/A	0.10	0.47	0.11	#N/A	4869.03	5120.48	5784.44	5257.98	0.23
1900	Philomath SD 17J	1634	1631	1637	1613	30056.12	68662.42	50948.34	19742.66	7787711.13	8371782.62	8316666.8	9751399.77	18.39	42.10	31.12	12.24	4766.04	5132.91	5080.43	6045.51	5256.22	25.96
2056	KLAMATH FALLS CITY SCHOOLS	3361	3271	3302	3198	26331.73	52465.3	12163	64087.75	16201797.1	17074033.72	16515520.67	18886707.97	7.83	16.04	3.68	20.04	4820.53	5219.82	5001.67	5905.79	5236.95	11.90
1965	Coos Bay SD 9	3381	3178	3104	3068	51060.61	87874.93	70161.34	55857.98	16800492.77	17117374.42	16095171.73	16496429.15	15.10	27.65	22.60	18.21	4969.09	5386.21	5185.30	5376.93	5229.38	20.89
2207	Pendleton SD 16	3284	3334	3304	3297	180376.72	194512.08	149073.61	237711.17	16183483.05	16913676.24	16817377.72	19096684.35	54.93	58.34	45.12	72.10	4927.98	5073.09	5090.01	5792.14	5220.80	57.62
2003	Sutherlin SD 130	1382	1363	1343	1354	35739.99	17892.13	5460.37	17698	6631981.43	7015467.39	6899021.74	7824845.71	25.86	13.13	4.07	13.07	4798.83	5147.08	5137.02	5779.06	5215.50	14.03
2044	Rogue River SD 35	952	917	897	914	64075.5	25916.8	45582.44	128720.18	4433478.09	4561874.61	5015392.2	5092747.2	67.31	28.26	50.82	140.83	4657.01	4974.78	5591.30	5571.93	5198.76	71.80
1929	Canby SD 86	4892	4735	4767	4747	171140.45	88169.99	176691.03	269129.99	24075724.13	24564723.12	23236313.63	26759621.12	34.98	18.62	37.07	56.69	4921.45	5187.90	4874.41	5637.16	5155.23	36.84
2262	Knappa SD 4	471	474	462	496	34010.04	73652.46	68938.09	76015.84	2418607.27	2476002.96	2476544.36	2362126.68	72.21	155.38	149.22	153.26	5135.05	5223.63	5360.49	4762.35	5120.38	132.52
2083	Springfield SD 19	10864	10812	11033	10991	173231.1	171601.46	338645.09	470257.97	50554623.73	52861705.37	55950079.13	63230224	15.95	15.87	30.69	42.79	4653.41	4889.17	5071.16	5752.91	5091.66	26.32
2001	Reedsport SD 105	646	642	599	613	174710.93	55060.61	63899.3	27840.82	3169289.88	3228799.29	3063450.39	3225712.43	270.45	85.76	106.68	45.42	4906.02	5029.28	5114.27	5262.17	5077.94	127.08
2081	Pleasant Hill SD 1	833	828	891	920	31676.58	21178.52	26896	51548.16	3837411.92	4100719.51	4561281.22	5093887.94	38.03	25.58	30.19	56.03	4606.74	4952.56	5119.28	5536.83	5053.85	37.46
1948	St Helens SD 502	3517	3427	3261	3239	19860.17	57965.13	38785.95	49044.15	16218906.02	16485013.65	17268867.92	17586029.71	5.65	16.91	11.89	15.14	4611.57	4810.33	5295.57	5429.46	5036.74	12.40
2091	Junction City SD 69	1668	1675	1693	1689	10100	24822	31050.56	58959.35	7903152.83	8341333.92	8310354.56	9308640.03	6.06	14.82	18.34	34.91	4738.10	4979.90	4908.66	5511.33	5034.50	18.53
1925	Molalla River SD 35	2785	2794	2729	2671	89332.63	19785.25	34694.95	39279.41	12933656.32	13580718	13149517.87	15064707.2	32.08	7.08	12.71	14.71	4644.04	4860.67	4818.44	5640.10	4990.81	16.64
2039	Phoenix-Talent SD 4	2711	2701	2659	2662	36317.83	57766.54	55124.97	88977.25	12634259.29	12938230.42	12958743.56	14687038.14	13.40	21.39	20.73	33.42	4660.37	4790.16	4873.54	5517.29	4960.34	22.23
2251	Yamhill Carlton SD 1	1144	1166	1140	1167	50780	71449.3	45655	500	5703010.23	5522630.75	5387725.09	6264402.31	44.39	61.28	40.05	0.43	4985.15	4736.39	4726.07	5367.95	4953.89	36.54
2101	Lebanon Community SD 9	4333	4392	4449	4458	105045.88	40181.73	35871.68	32566.6	18925147.7	21585773.56	21875800.52	24545649.07	24.24	9.15	8.06	7.31	4367.68	4914.79	4917.02	5505.98	4926.37	12.19
2042	Central Point SD 6	4530	4526	4498	4471	189161.38	121575	139016.92	150903.53	21078276.19	21481063.24	21112388.48	24578823.02	41.76	26.86	30.91	33.75	4653.04	4746.15	4693.73	5497.39	4897.58	33.32
2055	Three Rivers/Josephine County SD	5041	4903	4919	4916	10500	10975.02	6400	79997	23300717.06	23687308	22732016.52	26275528.01	2.08	2.24	1.30	16.27	4622.24	4831.19	4621.27	5344.90	4854.90	5.47
2054	Grants Pass SD 7	5866	5842	5772	5826	88645.67	94472.57	92738.2	85306.62	25399472.8	27312178.37	28562903.76	31618021.95	15.11	16.17	16.07	14.64	4329.95	4675.14	4948.53	5427.05	4845.17	15.50
2088	Bethel SD 52	5784	5934	5907	5660	165112.4	185128.62	30921.42	26546.6	25595767.32	27621734.87	28116084.87	31184043.29	28.55	31.20	5.23	4.69	4425.27	4654.83	4759.79	5509.55	4837.36	17.42
2048	Medford SD 549C	12583	12727	13187	13574	184760.64	213295.5	329864.95	319971.37	55618729.49	59031323.7	63915642.57	72922718.75	14.68	16.76	25.01	23.57	4420.15	4638.27	4846.87	5372.24	4819.38	20.01
1991	Douglas County SD 4	6337	6294	6227	6095	91236.78	154525.39	287108.71	228731.48	28032242.34	29594447.66	30629547.4	31691159.16	14.40	24.55	46.11	37.53	4423.58	4702.01	4918.83	5199.53	4810.99	30.65
2195	Sherman County SD	234	231	246	241	3000	9050	1100	4101	1259791.87	566944.55	1094071.41	1615961.73	12.82	39.18	4.47	17.02	5383.73	2454.31	4447.44	6705.24	4747.68	18.37
2100	Greater Albany Public SD 8J	9169	9115	9158	9329	22624.19	86657.32	131083.51	25415.23	40052880.76	41688566.57	42554647.75	49908068.23	2.47	9.51	14.31	2.72	4368.29	4573.62	4646.72	5349.78	4734.60	7.25
1924	North Clackamas SD 12	17334	17152	16976	16993	120259	418438.99	187272.82	83812.72	74107971.95	78492517.24	80908834.41	88832203.93	6.94	24.40	11.03	4.93	4275.30	4576.29	4766.07	5227.58	4711.31	11.82
1928	Oregon City SD 62	8250	8158	8064	8066	62864.69	13825.52	56877.16	4591.12	34756308.81	36953655.14	38521575.68	42706943.9	7.62	1.69	7.05	0.57	4212.89	4529.74	4776.98	5294.69	4703.57	4.23
1970	Crook County SD	2932	3010	3153	3349	103808.87	140794.48	248713.93	158870.42	11765693.54	13092148.6	15070834.65	18293331.72	35.41	46.78	78.88	47.44	4012.86	4349.55	4779.84	5462.33	4651.14	52.13
1926	Oregon Trail SD 46	4074	4112	4201	4252	96581.2	140162.65	188184.22	184971.72	17221063.3	18799667.39	19660585	21616331.16	23.71	34.09	44.80	43.50	4227.07	4571.90	4679.98	5083.80	4640.69	36.52
1946	Rainier SD 13	1065	1057	1007	1009	19037.88	20536.5	43134.48	35447.06	4468498.83	4682491.87	4906980.73	4972645.26	17.88	19.43	42.83	35.13	4195.77	4429.98	4872.87	4928.29	4606.73	28.82
2254	Newberg SD 29J	5242	5084	5151	5195	166759.49	204018.96	177382	124295.29	22261224.22	23521085.46	22312351.38	26347211.84	31.81	40.13	34.44	23.93	4246.70	4626.49	4331.65	5071.65	4569.12	32.58
2090	McKenzie SD 68	205	215	218	224	38755	9943.43	31852.1	8036.84	869934.21	955907.67	818524.92	1233416.46	189.05	46.25	146.11	35.88	4243.58	4446.08	3754.70	5506.32	4487.67	104.32
2212	La Grande SD 1	2205	2158	2132	2176	23113.01	20392.85	46003.5	9121	9273784	9436548	9297786.29	10628677.17	10.48	9.45	21.58	4.19	4205.80	4372.82	4361.06	4884.50	4456.05	11.43
2243	Beaverton SD 48J	38737	39118	39488	39433	1740133.23	2352083.59	2543885.06	1817608.61	157658271.8	167737344.2	172475674.4	199569315.7	44.92	60.13	64.42	46.09	4069.97	4287.98	4367.80	5060.97	4446.68	53.89
2239	Hillsboro SD 1J	20827	20909	20903	20973	1230787.6	858802.69	589979.5	879433.97	88054181.11	92527216.82	86262985	103646648	59.10	41.07	28.22	41.93	4227.89	4425.23	4126.82	4941.91	4430.46	42.58
1977	Redmond SD 2J	7003	6962	7055	7107	403905.05	342251.12	284525.38	295781.62	26463684.16	29637642.11	32103540.61	35605843.43	57.68	49.16	40.33	41.62	3778.91	4257.06	4550.47	5009.97	4399.10	47.20
2059	Lake County SD 7	730	696	732	748	1882.42	22229.76	37309	26470.25	3613622.46	2985458.11	2535798.31	3229105.56	2.58	31.94	50.97	35.39	4950.17	4289.45	3464.21	4316.99	4255.20	30.22
1947	Vernonia SD 47J	609	575	554	556	211163.68	1717252.5	218961.21	116419.24	2056713.75	2532563.47	2573230.94	2538349.99	346.74	2986.53	395.24	209.39	3377.20	4404.46	4644.82	4565.38	4247.96	984.47
2105	Central Linn SD 552	721	673	672	709	22092.53	5765	21932.46	62884.32	2480855.65	2940136.59	2937285.98	3402688.93	30.64	8.57	32.64	88.69	3440.85	4368.70	4370.96	4799.28	4244.95	40.13
