incident,product,year,railroad,product_name,damages,gallons
I-1976020395,NA1993,1976,PENN CENTRAL TRANSPORTN CO,COMBUSTIBLE LIQUID  N.O.S.,0,7900.0
I-1976020604,UN1093,1976,CHESAPEAKE & OHIO RWY CO,ACRYLONITRILE  STABILIZED,0,40000.0
I-1976020679,NA1993,1976,PENN CENTRAL TRANSPORTN CO,COMBUSTIBLE LIQUID  N.O.S.,0,20000.0
I-1976020679,UN1789,1976,PENN CENTRAL TRANSPORTN CO,HYDROCHLORIC ACID  SOLUTION,0,7000.0
I-1976020799,UN1830,1976,BOSTON & MAINE CORP,SULFURIC ACID,0,5312.0
I-1976020804,UN1131,1976,PENN CENTRAL TRANSPORTN CO,CARBON DISULFIDE,0,1322.0
I-1976030007,UN1230,1976,SOUTHERN PAC TRANSPORTATION CO,METHANOL,0,25000.0
I-1976030306,UN1805,1976,CHICAGO MILW ST PAUL & PAC RR,PHOSPHORIC ACID SOLUTION,0,8000.0
I-1976030410,UN1203,1976,ALASKA RAILROAD,GASOLINE INCLUDES GASOLINE MIXED WITH ETHYL ALCOHOL  WITH NOT MORE THAN 10% ALCOHOL,0,90000.0
I-1976030479,NA1993,1976,CHICAGO & NORTHWESTERN TRAN CO,COMBUSTIBLE LIQUID  N.O.S.,0,8738.0
I-1976030481,UN1993,1976,ILLINOIS CENTRAL GULF RAILROAD,FLAMMABLE LIQUIDS  N.O.S.,0,20000.0
I-1976040589,NA1993,1976,CONSOLIDATED RAIL CORP(CONRAIL,COMBUSTIBLE LIQUID  N.O.S.,0,20098.0
I-1976050015,UN1832,1976,SOUTHERN PAC TRANSPORTATION CO,SULFURIC ACID  SPENT,0,13658.0
I-1976050403,UN1760,1976,CONSOLIDATED RAIL CORP(CONRAIL,CORROSIVE LIQUIDS  N.O.S.,0,21000.0
I-1976050807,UN1547,1976,LOUISVILLE & NASHVILLE RR,ANILINE,0,3000.0
I-1976050928,UN1805,1976,SOUTHERN RAILWAY SYSTEM,PHOSPHORIC ACID SOLUTION,0,5648.0
I-1976050929,UN1805,1976,SOUTHERN RAILWAY SYSTEM,PHOSPHORIC ACID SOLUTION,0,7292.0
I-1976060004,UN1005,1976,CHICAGO & NORTHWESTERN TRAN CO,AMMONIA ANHYDROUS,0,17955.0
I-1976060325,UN1830,1976,ILLINOIS CENTRAL GULF RAILROAD,SULFURIC ACID,0,13073.0
I-1976060488,UN1061,1976,CONSOLIDATED RAIL CORP(CONRAIL,METHYLAMINE  ANHYDROUS,0,15000.0
I-1976060545,UN1754,1976,ILLINOIS CENTRAL GULF RAILROAD,CHLOROSULFONIC ACID (WITH OR WITHOUT SULFUR TRIOXIDE),0,6240.0
I-1976060547,UN1760,1976,MISSOURI PACIFIC RAILROAD CO,CORROSIVE LIQUIDS  N.O.S.,0,16000.0
I-1976060727,NA1993,1976,ATCHISON TOPEKA STA FE RY CO,COMBUSTIBLE LIQUID  N.O.S.,0,23241.0
I-1976070008,UN1075,1976,SOUTHERN RAILWAY SYSTEM,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,4000.0
I-1976070020,UN2014,1976,SOUTHERN RAILWAY SYSTEM,HYDROGEN PEROXIDE  AQUEOUS SOLUTIONS WITH NOT LESS THAN 20 PERCENT BUT NOT MORE THAN 40 PERCENT HYDROGEN PEROXIDE (STABILIZED AS NECESSARY),0,2000.0
I-1976070954,UN1789,1976,CONSOLIDATED RAIL CORP(CONRAIL,HYDROCHLORIC ACID  SOLUTION,0,18000.0
I-1976071001,UN1043,1976,TEXAS & PACIFIC RAILWAY CO,FERTILIZER AMMONIATING SOLUTION WITH FREE AMMONIA,0,9500.0
I-1976080518,UN2078,1976,CONSOLIDATED RAIL CORP(CONRAIL,TOLUENE DIISOCYANATE,0,1010.0
I-1976080523,UN1805,1976,UNION PACIFIC RR CO.,PHOSPHORIC ACID SOLUTION,0,18000.0
I-1976080563,UN1203,1976,ATCHISON TOPEKA STA FE RY CO,GASOLINE INCLUDES GASOLINE MIXED WITH ETHYL ALCOHOL  WITH NOT MORE THAN 10% ALCOHOL,0,28137.0
I-1976080626,UN2789,1976,SEABOARD COAST LINE RAILROAD,ACETIC ACID  GLACIAL OR ACETIC ACID SOLUTION  WITH MORE THAN 80 PERCENT ACID  BY MASS,0,19670.0
I-1976081007,UN1075,1976,LOUISVILLE & NASHVILLE RR,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,30116.0
I-1976090157,UN1075,1976,ST LOUIS-SAN FRANCISCO RY CO,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,32090.0
I-1976090771,UN1230,1976,CHICAGO ROCK ISLAND PAC RR CO,METHANOL,0,60000.0
I-1976090995,UN1255,1976,CHICAGO ROCK ISLAND PAC RR CO,NAPHTHA  PETROLEUM,0,6000.0
I-1976090996,UN1255,1976,CHICAGO ROCK ISLAND PAC RR CO,NAPHTHA  PETROLEUM,0,8000.0
I-1976090997,UN2789,1976,CHICAGO ROCK ISLAND PAC RR CO,ACETIC ACID  GLACIAL OR ACETIC ACID SOLUTION  WITH MORE THAN 80 PERCENT ACID  BY MASS,0,6000.0
I-1976091071,NA1993,1976,CHICAGO ROCK ISLAND PAC RR CO,COMBUSTIBLE LIQUID  N.O.S.,0,8000.0
I-1976100065,UN1987,1976,CONSOLIDATED RAIL CORP(CONRAIL,ALCOHOLS  N.O.S.,0,33000.0
I-1976100213,UN2078,1976,CHESSIE SYSTEM,TOLUENE DIISOCYANATE,0,18240.0
I-1976100215,UN1789,1976,MISSOURI PACIFIC RAILROAD CO,HYDROCHLORIC ACID  SOLUTION,0,3000.0
I-1976100221,UN1075,1976,SOUTHERN PAC TRANSPORTATION CO,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,33944.0
I-1976100223,UN1075,1976,SOUTHERN PAC TRANSPORTATION CO,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,15000.0
I-1976100276,UN1075,1976,BURLINGTON NORTHERN INC,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,6300.0
I-1976100374,UN1866,1976,CONSOLIDATED RAIL CORP(CONRAIL,RESIN SOLUTION  FLAMMABLE,0,7974.0
I-1976100424,UN1824,1976,ST LOUIS-SAN FRANCISCO RY CO,SODIUM HYDROXIDE  SOLUTION,0,2000.0
I-1976110004,UN1830,1976,CHICAGO ROCK ISLAND PAC RR CO,SULFURIC ACID,0,9918.0
I-1976110213,UN2491,1976,KANSAS CITY SOUTHERN LINES,ETHANOLAMINE OR ETHANOLAMINE SOLUTIONS,0,10000.0
I-1976110254,UN1090,1976,CONSOLIDATED RAIL CORP(CONRAIL,ACETONE,0,10000.0
I-1976110255,NA1270,1976,KANSAS CITY SOUTHERN LINES,PETROLEUM OIL,0,10144.0
I-1976110257,UN1089,1976,SOUTHERN PAC TRANSPORTATION CO,ACETALDEHYDE,0,26400.0
I-1976110299,UN1789,1976,ILLINOIS CENTRAL GULF RAILROAD,HYDROCHLORIC ACID  SOLUTION,0,7953.0
I-1976110301,UN1789,1976,ILLINOIS CENTRAL GULF RAILROAD,HYDROCHLORIC ACID  SOLUTION,0,10084.0
I-1976110500,UN1760,1976,SEABOARD COAST LINE RAILROAD,CORROSIVE LIQUIDS  N.O.S.,0,14800.0
I-1976110501,UN1805,1976,SEABOARD COAST LINE RAILROAD,PHOSPHORIC ACID SOLUTION,0,14800.0
I-1976110707,UN1830,1976,CHESAPEAKE & OHIO RWY CO,SULFURIC ACID,0,4000.0
I-1976110780,UN1093,1976,CHESAPEAKE & OHIO RWY CO,ACRYLONITRILE  STABILIZED,0,23000.0
I-1976110781,UN1010,1976,CHESAPEAKE & OHIO RWY CO,BUTADIENES  STABILIZED OR BUTADIENES AND HYDROCARBON MIXTURE  STABILIZED CONTAINING MORE THAN 40% BUTADIENES,0,32872.0
I-1976110783,UN1230,1976,CONSOLIDATED RAIL CORP(CONRAIL,METHANOL,0,6500.0
I-1976120005,UN1089,1976,CONSOLIDATED RAIL CORP(CONRAIL,ACETALDEHYDE,0,4470.0
I-1976120115,UN1824,1976,NORFOLK & WESTERN RAILWAY CO,SODIUM HYDROXIDE  SOLUTION,0,10000.0
I-1976120192,NA1993,1976,MAINE CENTRAL RAILROAD CO,FUEL OIL,0,12000.0
I-1976120382,UN1987,1976,BURLINGTON NORTHERN INC,ALCOHOLS  N.O.S.,0,2000.0
I-1976120458,UN1075,1976,BURLINGTON NORTHERN INC,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,53583.0
I-1977010007,UN2789,1976,SEABOARD COAST LINE RAILROAD,ACETIC ACID  GLACIAL OR ACETIC ACID SOLUTION  WITH MORE THAN 80 PERCENT ACID  BY MASS,0,20684.0
I-1977010008,UN1075,1976,SEABOARD COAST LINE RAILROAD,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,1369.0
I-1977010650,UN1987,1977,CONSOLIDATED RAIL CORP(CONRAIL,ALCOHOLS  N.O.S.,0,8000.0
I-1977020003,UN1040,1977,CONSOLIDATED RAIL CORP(CONRAIL,ETHYLENE OXIDE OR ETHYLENE OXIDE WITH NITROGEN UP TO A TOTAL PRESSURE OF 1MPA (10 BAR) AT 50 DEGREES C,0,20000.0
I-1977020003,UN1089,1977,CONSOLIDATED RAIL CORP(CONRAIL,ACETALDEHYDE,0,20000.0
I-1977020003,UN1917,1977,CONSOLIDATED RAIL CORP(CONRAIL,ETHYL ACRYLATE  STABILIZED,0,20000.0
I-1977020005,NA1993,1977,NORFOLK & WESTERN RAILWAY CO,COMBUSTIBLE LIQUID  N.O.S.,0,10000.0
I-1977020165,UN1294,1977,BURLINGTON NORTHERN INC,TOLUENE,0,13000.0
I-1977020168,UN1075,1977,SEABOARD COAST LINE RAILROAD,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,2464.0
I-1977020316,UN1203,1976,ATCHESON TOPEKA & SANTA FE RY,GASOLINE INCLUDES GASOLINE MIXED WITH ETHYL ALCOHOL  WITH NOT MORE THAN 10% ALCOHOL,0,22952.0
I-1977020317,UN1830,1977,BALTIMORE & OHIO RR CO.,SULFURIC ACID,0,8000.0
I-1977020501,UN1005,1977,SEABOARD COAST LINE RAILROAD,AMMONIA ANHYDROUS,0,7220.0
I-1977020674,UN1075,1977,BURLINGTON NORTHERN INC,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,3346.0
I-1977020675,NA1993,1977,BURLINGTON NORTHERN INC,FUEL OIL,0,2000.0
I-1977020676,NA1993,1977,BURLINGTON NORTHERN INC,FUEL OIL,0,6000.0
I-1977020677,NA1993,1977,BURLINGTON NORTHERN INC,FUEL OIL,0,15000.0
I-1977020686,UN1830,1977,ILLINOIS CENTRAL GULF RAILROAD,SULFURIC ACID,0,6133.0
I-1977020691,UN1813,1977,SOUTHERN PAC TRANSPORTATION CO,POTASSIUM HYDROXIDE  SOLID,0,10126.0
I-1977030002,UN1093,1977,CONSOLIDATED RAIL CORP(CONRAIL,ACRYLONITRILE  STABILIZED,0,36628.0
I-1977030275,UN1075,1977,ATCHESON TOPEKA & SANTA FE RY,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,62758.0
I-1977030277,UN1783,1977,LOUISVILLE & NASHVILLE RR,HEXAMETHYLENEDIAMINE SOLUTION,0,20000.0
I-1977030395,UN1814,1977,LOUISVILLE & NASHVILLE RR,POTASSIUM HYDROXIDE  SOLUTION,0,1507.0
I-1977030620,UN1977,1977,SEABOARD COAST LINE RAILROAD,NITROGEN  REFRIGERATED LIQUID (CRYOGENIC LIQUID),0,10315.0
I-1977030754,UN1783,1977,LOUISVILLE & NASHVILLE RR,HEXAMETHYLENEDIAMINE SOLUTION,0,20000.0
I-1977030806,UN1075,1977,ILLINOIS CENTRAL GULF RAILROAD,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,1500.0
I-1977030950,UN1075,1977,ATCHESON TOPEKA & SANTA FE RY,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,150000.0
I-1977030956,UN1230,1977,NORFOLK & WESTERN RAILWAY CO,METHANOL,0,30300.0
I-1977031113,UN1173,1977,ATCHESON TOPEKA & SANTA FE RY,ETHYL ACETATE,0,8600.0
I-1977040190,NA1760,1977,CONSOLIDATED RAIL CORP(CONRAIL,ACID  LIQUID  N.O.S.,0,5400.0
I-1977040433,UN1805,1977,CHICAGO MILW ST PAUL & PAC RR,PHOSPHORIC ACID SOLUTION,0,13500.0
I-1977040641,UN1789,1977,CHESSIE SYSTEM,HYDROCHLORIC ACID  SOLUTION,0,1500.0
I-1977040838,UN1789,1977,NORFOLK & WESTERN RAILWAY CO,HYDROCHLORIC ACID  SOLUTION,0,4500.0
I-1977041042,UN1993,1977,CONSOLIDATED RAIL CORP(CONRAIL,FLAMMABLE LIQUIDS  N.O.S.,0,20622.0
I-1977041044,UN1760,1977,NORFOLK & WESTERN RAILWAY CO,CORROSIVE LIQUIDS  N.O.S.,0,1500.0
I-1977050651,UN1805,1977,UNION PACIFIC RR CO.,PHOSPHORIC ACID SOLUTION,0,9200.0
I-1977050936,NA1993,1977,CHICAGO MILW ST PAUL & PAC RR,FUEL OIL,0,1500.0
I-1977060434,UN1789,1977,ELGIN JOLIET & EASTERN RY CO,HYDROCHLORIC ACID  SOLUTION,0,2700.0
I-1977060646,UN1789,1977,ILLINOIS CENTRAL GULF RAILROAD,HYDROCHLORIC ACID  SOLUTION,0,10952.0
I-1977060649,UN1075,1977,UNION PACIFIC RR CO.,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,6700.0
I-1977061131,UN1005,1977,UNION PACIFIC RR CO.,AMMONIA ANHYDROUS,0,10000.0
I-1977070285,UN1824,1977,ILLINOIS CENTRAL GULF RAILROAD,SODIUM HYDROXIDE  SOLUTION,0,16000.0
I-1977070286,UN1824,1977,ILLINOIS CENTRAL GULF RAILROAD,SODIUM HYDROXIDE  SOLUTION,0,1500.0
I-1977070464,UN1203,1977,BANGOR & AROOSTOOK RR,GASOLINE INCLUDES GASOLINE MIXED WITH ETHYL ALCOHOL  WITH NOT MORE THAN 10% ALCOHOL,0,11500.0
I-1977070466,UN1814,1977,CONSOLIDATED RAIL CORP(CONRAIL,POTASSIUM HYDROXIDE  SOLUTION,0,16314.0
I-1977070666,UN1075,1977,SOUTHERN RAILWAY SYSTEM,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,6283.0
I-1977071157,UN1198,1977,SOUTHERN RAILWAY SYSTEM,FORMALDEHYDE SOLUTION (FLASH POINT NOT MORE THAN 141 DEG F.; IN CONTAINERS OVER 110 GALLONS),0,16800.0
I-1977071159,UN1307,1977,SOUTHERN RAILWAY SYSTEM,XYLENES,0,2000.0
I-1977071432,UN1075,1977,NORFOLK & WESTERN RAILWAY CO,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,1061.0
I-1977080007,UN1789,1977,NORFOLK & WESTERN RAILWAY CO,HYDROCHLORIC ACID  SOLUTION,0,2000.0
I-1977080287,UN1075,1977,CHICAGO ROCK ISLAND PAC RR CO,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,62000.0
I-1977080288,UN1805,1977,CHICAGO MILW ST PAUL & PAC RR,PHOSPHORIC ACID SOLUTION,0,10000.0
I-1977080477,UN2582,1977,CONSOLIDATED RAIL CORP(CONRAIL,FERRIC CHLORIDE  SOLUTION,0,4000.0
I-1977081235,UN1193,1977,SOUTHERN PAC TRANSPORTATION CO,METHYL ETHYL KETONE,0,1045.0
I-1977081560,UN1134,1977,CHESAPEAKE & OHIO RWY CO,CHLOROBENZENE,0,20855.0
I-1977081562,UN1760,1977,CHESAPEAKE & OHIO RWY CO,CORROSIVE LIQUIDS  N.O.S.,0,10334.0
I-1977081564,UN1824,1977,CHESAPEAKE & OHIO RWY CO,SODIUM HYDROXIDE  SOLUTION,0,6000.0
I-1977081565,UN1561,1977,CHICAGO MILW ST PAUL & PAC RR,ARSENIC TRIOXIDE,0,1075.0
I-1977090004,UN1075,1975,CHICAGO MILW ST PAUL & PAC RR,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,300000.0
I-1977090320,UN1075,1977,ATCHESON TOPEKA & SANTA FE RY,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,1500.0
I-1977090327,UN1267,1977,CONSOLIDATED RAIL CORP(CONRAIL,PETROLEUM CRUDE OIL,0,26638.0
I-1977090343,UN1301,1977,SOUTHERN PAC TRANSPORTATION CO,VINYL ACETATE  STABILIZED,0,27953.0
I-1977090825,UN1005,1977,BURLINGTON NORTHERN INC,AMMONIA ANHYDROUS,0,3000.0
I-1977091450,UN1198,1977,LOUISVILLE & NASHVILLE RR,FORMALDEHYDE SOLUTION (FLASH POINT NOT MORE THAN 141 DEG F.; IN CONTAINERS OVER 110 GALLONS),0,5000.0
I-1977091452,UN1198,1977,LOUISVILLE & NASHVILLE RR,FORMALDEHYDE SOLUTION (FLASH POINT NOT MORE THAN 141 DEG F.; IN CONTAINERS OVER 110 GALLONS),0,10000.0
I-1977100012,NA1993,1977,BURLINGTON NORTHERN INC,FUEL OIL,0,17000.0
I-1977100042,UN2553,1977,SOUTHERN RAILWAY SYSTEM,NAPHTHA,0,1300.0
I-1977100653,UN1203,1977,ATCHESON TOPEKA & SANTA FE RY,GASOLINE INCLUDES GASOLINE MIXED WITH ETHYL ALCOHOL  WITH NOT MORE THAN 10% ALCOHOL,0,13950.0
I-1977100677,UN1805,1977,UNION PACIFIC RR CO.,PHOSPHORIC ACID SOLUTION,0,30000.0
I-1977100992,UN1075,1977,BALTIMORE & OHIO RR CO.,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,3990.0
I-1977100992,UN1987,1977,BALTIMORE & OHIO RR CO.,ALCOHOLS  N.O.S.,0,1551.0
I-1977100994,UN1230,1977,GRAND TRUNK WESTERN RR CO,METHANOL,0,3000.0
I-1977101347,NA1993,1977,ILLINOIS CENTRAL GULF RAILROAD,FUEL OIL,0,19500.0
I-1977110592,NA1270,1977,NORFOLK & WESTERN RAILWAY CO,PETROLEUM OIL,0,10835.0
I-1977110988,UN1005,1977,LOUISVILLE & NASHVILLE RR,AMMONIA ANHYDROUS,0,33651.0
I-1977120008,UN2553,1977,BURLINGTON NORTHERN INC,NAPHTHA,0,9295.0
I-1977120015,UN1814,1977,CONSOLIDATED RAIL CORP(CONRAIL,POTASSIUM HYDROXIDE  SOLUTION,0,10000.0
I-1977120016,UN1010,1977,LOUISIANA & ARKANSAS RY CO,BUTADIENES  STABILIZED OR BUTADIENES AND HYDROCARBON MIXTURE  STABILIZED CONTAINING MORE THAN 40% BUTADIENES,0,31504.0
I-1977120016,UN1184,1977,LOUISIANA & ARKANSAS RY CO,ETHYLENE DICHLORIDE,0,48187.5
I-1977120314,UN1824,1977,UNION PACIFIC RR CO.,SODIUM HYDROXIDE  SOLUTION,0,5300.0
I-1977120473,UN1075,1977,CHICAGO & NORTHWESTERN TRAN CO,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,14000.0
I-1977120475,NA1993,1977,SOUTHERN PAC TRANSPORTATION CO,COMBUSTIBLE LIQUID  N.O.S.,0,8222.0
I-1977120486,UN1381,1977,SOUTHERN PAC TRANSPORTATION CO,PHOSPHORUS WHITE OR YELLOW  IN WATER,0,12532.0
I-1977120655,UN1075,1977,CHICAGO & NORTHWESTERN TRAN CO,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,9565.0
I-1977120832,UN1005,1977,BALTIMORE & OHIO RR CO.,AMMONIA ANHYDROUS,0,32000.0
I-1977120833,UN2014,1977,BALTIMORE & OHIO RR CO.,HYDROGEN  PEROXIDE  AQUEOUS SOLUTIONS WITH MORE THAN 40 PERCENT BUT NOT MORE THAN 60 PERCENT HYDROGEN PEROXIDE (STABILIZED AS NECESSARY),0,11000.0
I-1977120834,UN1824,1977,BOSTON & MAINE CORP,SODIUM HYDROXIDE  SOLUTION,0,1500.0
I-1978010012,UN1093,1977,CHESAPEAKE & OHIO RWY CO,ACRYLONITRILE  STABILIZED,0,7000.0
I-1978010013,UN1824,1977,CONSOLIDATED RAIL CORP(CONRAIL,SODIUM HYDROXIDE  SOLUTION,0,10102.0
I-1978010016,NA1760,1977,ILLINOIS CENTRAL GULF RAILROAD,COMPOUNDS  CLEANING LIQUID,0,1005.0
I-1978010218,UN1267,1977,CONSOLIDATED RAIL CORP(CONRAIL,PETROLEUM CRUDE OIL,0,2300.0
I-1978010223,UN2014,1977,NORFOLK & WESTERN RAILWAY CO,HYDROGEN  PEROXIDE  AQUEOUS SOLUTIONS WITH MORE THAN 40 PERCENT BUT NOT MORE THAN 60 PERCENT HYDROGEN PEROXIDE (STABILIZED AS NECESSARY),0,4039.0
I-1978010233,UN1267,1977,SOUTHERN RAILWAY SYSTEM,PETROLEUM CRUDE OIL,0,10000.0
I-1978010234,UN1214,1977,SOUTHERN RAILWAY SYSTEM,ISOBUTYLAMINE,0,22830.0
I-1978010428,UN1919,1978,BALTIMORE & OHIO RR CO.,METHYL ACRYLATE  STABILIZED,0,18750.0
I-1978010428,UN2076,1978,BALTIMORE & OHIO RR CO.,CRESOLS  LIQUID,0,10375.0
I-1978010439,UN1866,1978,NORFOLK & WESTERN RAILWAY CO,RESIN SOLUTION  FLAMMABLE,0,5000.0
I-1978010840,UN2790,1977,BALTIMORE & OHIO RR CO.,ACETIC ACID SOLUTION  NOT LESS THAN 50 PERCENT BUT NOT MORE THAN 80 PERCENT ACID  BY MASS,0,10000.0
I-1978010980,UN1993,1978,BALTIMORE & OHIO RR CO.,FLAMMABLE LIQUIDS  N.O.S.,0,20000.0
I-1978010983,UN2056,1977,CONSOLIDATED RAIL CORP(CONRAIL,TETRAHYDROFURAN,0,15000.0
I-1978020078,UN1089,1978,CONSOLIDATED RAIL CORP(CONRAIL,ACETALDEHYDE,0,21499.0
I-1978020474,UN1230,1978,ATCHESON TOPEKA & SANTA FE RY,METHANOL,0,23149.0
I-1978020475,UN1230,1978,ATCHESON TOPEKA & SANTA FE RY,METHANOL,0,29383.0
I-1978020476,UN1230,1978,ATCHESON TOPEKA & SANTA FE RY,METHANOL,0,6875.0
I-1978020477,UN1230,1978,ATCHESON TOPEKA & SANTA FE RY,METHANOL,0,5097.0
